id,title,jenis,nomor,tahun,status,dicabut_oleh
D0180,"Peraturan Menteri Pekerjaan Umum dan Perumahan Rakyat Nomor 16/PRT/M/2018 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,16/PRT/M/2018,2018,Berlaku,
D0181,"Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 24 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,24,2018,Berlaku,
D0182,"Peraturan Menteri Kesehatan Nomor 21 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,21,2018,Berlaku,
D0183,"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 5 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,5,2018,Berlaku,
D0184,"Peraturan Menteri Riset, Teknologi, dan Pendidikan Tinggi Nomor 23 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,23,2018,Berlaku,
D0185,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.85/MENLHK/SETJEN/KUM.1/8/2018 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,P.85/MENLHK/SETJEN/KUM.1/8/2018,2018,Berlaku,
D0186,"Peraturan Menteri Dalam Negeri Nomor 69 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,69,2018,Berlaku,
D0187,"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 11 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,11,2018,Berlaku,
D0188,"Peraturan Menteri Koordinator Bidang Kemaritiman Nomor 10 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,10,2018,Berlaku,
D0189,"Peraturan Menteri Perhubungan Nomor PM112 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,PM112,2018,Berlaku,
D0190,"Peraturan Menteri Ketenagakerjaan Nomor 17 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,17,2018,Berlaku,
D0191,"Peraturan Menteri Ketenagakerjaan Nomor 22 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,22,2018,Berlaku,
D0192,"Peraturan Menteri Pertahanan Nomor 24 Tahun 2018,""PERATURAN MENTERI",PERATURAN MENTERI,24,2018,Berlaku,
D0193,"Peraturan Arsip Nasional Nomor 1 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,1,2018,Berlaku,
D0194,"Peraturan Arsip Nasional Nomor 2 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2018,Berlaku,
D0195,"Peraturan Arsip Nasional Nomor 3 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,3,2018,Berlaku,
D0196,"Peraturan Arsip Nasional Nomor 4 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,4,2018,Berlaku,
D0197,"Peraturan Arsip Nasional Nomor 5 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,5,2018,Berlaku,
D0198,"Peraturan Arsip Nasional Nomor 6 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,6,2018,Berlaku,
D0199,"Peraturan Badan Ekonomi Kreatif Nomor 2 Tahun 2018,""PERATURAN BADAN/LEMBAGA",PERATURAN BADAN/LEMBAGA,2,2018,Berlaku,
